"British Columbia — Historical Completions by Dwelling Type (in Census Metropolitan Areas, Census Agglomerations, and other selected municipalities with at least 10,000 people)  "
January 1990 to December 2025
,Single,Semi-Detached,Row,Apartment,Total,
1990 January,"1,440",42,397,636,"2,515",
1990 February,"1,135",79,468,753,"2,435",
1990 March,"1,311",96,372,867,"2,646",
1990 April,"1,629",108,423,725,"2,885",
1990 May,"1,536",67,267,"1,115","2,985",
1990 June,"1,758",146,228,728,"2,860",
1990 July,"1,555",124,343,659,"2,681",
1990 August,"1,511",103,286,783,"2,683",
1990 September,"1,353",99,474,"1,411","3,337",
1990 October,"1,203",138,543,"1,372","3,256",
1990 November,"1,174",86,369,624,"2,253",
1990 December,"1,083",162,355,"1,561","3,161",
1991 January,908,102,373,"1,391","2,774",
1991 February,958,62,276,557,"1,853",
1991 March,773,48,292,845,"1,958",
1991 April,911,81,268,"1,109","2,369",
1991 May,921,48,293,708,"1,970",
1991 June,"1,008",28,258,926,"2,220",
1991 July,"1,030",56,138,826,"2,050",
1991 August,"1,237",95,215,250,"1,797",
1991 September,"1,213",96,231,747,"2,287",
1991 October,"1,510",132,258,514,"2,414",
1991 November,"1,219",83,163,388,"1,853",
1991 December,"1,302",77,219,953,"2,551",
1992 January,"1,199",110,285,954,"2,548",
1992 February,"1,046",80,232,682,"2,040",
1992 March,"1,203",83,302,877,"2,465",
1992 April,"1,314",104,373,826,"2,617",
1992 May,"1,373",98,656,"1,042","3,169",
1992 June,"1,221",147,450,566,"2,384",
1992 July,"1,465",157,396,"1,231","3,249",
1992 August,"1,452",124,498,812,"2,886",
1992 September,"1,464",174,408,756,"2,802",
1992 October,"1,442",167,346,901,"2,856",
1992 November,"1,355",112,300,350,"2,117",
1992 December,"1,470",148,291,475,"2,384",
1993 January,944,124,172,591,"1,831",
1993 February,952,117,295,423,"1,787",
1993 March,"1,150",169,279,841,"2,439",
1993 April,"1,258",162,311,962,"2,693",
1993 May,"1,176",99,463,"1,278","3,016",
1993 June,"1,272",128,506,"1,250","3,156",
1993 July,"1,443",206,506,"1,340","3,495",
1993 August,"1,297",202,397,"1,450","3,346",
1993 September,"1,499",254,416,"1,327","3,496",
1993 October,"1,249",267,720,"1,154","3,390",
1993 November,"1,372",165,311,"1,789","3,637",
1993 December,"1,271",151,423,"1,143","2,988",
1994 January,"1,139",168,290,"1,089","2,686",
1994 February,957,153,262,"1,304","2,676",
1994 March,908,169,349,662,"2,088",
1994 April,"1,149",164,388,"1,065","2,766",
1994 May,"1,033",201,480,865,"2,579",
1994 June,"1,279",175,507,"1,582","3,543",
1994 July,"1,018",150,514,"1,099","2,781",
1994 August,"1,274",283,609,"1,406","3,572",
1994 September,"1,305",206,393,"1,837","3,741",
1994 October,"1,266",188,331,"1,583","3,368",
1994 November,"1,198",197,405,"1,578","3,378",
1994 December,"1,075",184,520,"1,137","2,916",
1995 January,918,119,352,"1,600","2,989",
1995 February,858,219,403,"1,342","2,822",
1995 March,766,127,305,994,"2,192",
1995 April,995,134,268,"1,849","3,246",
1995 May,839,147,264,738,"1,988",
1995 June,832,98,296,"1,038","2,264",
1995 July,855,206,391,"1,397","2,849",
1995 August,940,164,240,976,"2,320",
1995 September,952,127,199,888,"2,166",
1995 October,"1,040",150,186,"1,095","2,471",
1995 November,784,71,241,"1,132","2,228",
1995 December,902,103,185,"2,149","3,339",
1996 January,702,97,270,767,"1,836",
1996 February,614,65,286,446,"1,411",
1996 March,635,74,203,593,"1,505",
1996 April,729,132,176,743,"1,780",
1996 May,743,95,89,470,"1,397",
1996 June,843,156,398,"1,023","2,420",
1996 July,816,130,203,"1,065","2,214",
1996 August,960,126,271,551,"1,908",
1996 September,940,121,247,"1,415","2,723",
1996 October,975,86,306,857,"2,224",
