"British Columbia — Historical Starts by Dwelling Type (in Census Metropolitan Areas, Census Agglomerations, and other selected municipalities with at least 10,000 people)  ",,,,,
January 1990 to December 2025,,,,,
,Single,Semi-Detached,Row,Apartment,Total
1990 January,"1,249",83,382,923,"2,637"
1990 February,"1,435",90,451,"1,417","3,393"
1990 March,"1,487",114,582,871,"3,054"
1990 April,"1,752",164,469,"1,724","4,109"
1990 May,"1,635",92,383,"1,756","3,866"
1990 June,"1,271",103,691,857,"2,922"
1990 July,997,96,321,624,"2,038"
1990 August,998,81,377,"1,298","2,754"
1990 September,868,59,258,777,"1,962"
1990 October,883,64,340,630,"1,917"
1990 November,918,20,185,349,"1,472"
1990 December,639,101,313,329,"1,382"
1991 January,562,27,101,182,872
1991 February,571,44,84,403,"1,102"
1991 March,796,28,188,378,"1,390"
1991 April,"1,165",36,108,326,"1,635"
1991 May,"1,488",134,196,"1,272","3,090"
1991 June,"1,807",91,238,983,"3,119"
1991 July,"1,528",118,375,"1,285","3,306"
1991 August,"1,511",105,209,652,"2,477"
1991 September,"1,211",93,318,627,"2,249"
1991 October,"1,464",131,522,"1,300","3,417"
1991 November,"1,320",135,444,621,"2,520"
1991 December,"1,129",101,304,922,"2,456"
1992 January,889,87,420,427,"1,823"
1992 February,980,93,313,477,"1,863"
1992 March,"1,260",152,250,824,"2,486"
1992 April,"1,588",163,356,737,"2,844"
1992 May,"1,700",108,412,458,"2,678"
1992 June,"1,695",217,408,"1,781","4,101"
1992 July,"1,593",116,474,"1,321","3,504"
1992 August,"1,550",207,425,"1,236","3,418"
1992 September,"1,537",173,443,"1,092","3,245"
1992 October,"1,320",143,501,846,"2,810"
1992 November,"1,316",185,455,"1,020","2,976"
1992 December,"1,201",85,414,"1,151","2,851"
1993 January,655,96,215,"1,102","2,068"
1993 February,901,144,245,855,"2,145"
1993 March,"1,194",203,355,"1,134","2,886"
1993 April,"1,422",178,455,"1,574","3,629"
1993 May,"1,436",206,263,"1,293","3,198"
1993 June,"1,352",166,427,"1,449","3,394"
1993 July,"1,480",193,751,"1,535","3,959"
1993 August,"1,405",265,334,"2,142","4,146"
1993 September,"1,276",187,352,"1,219","3,034"
1993 October,"1,209",214,380,"1,388","3,191"
1993 November,"1,046",228,681,"1,162","3,117"
1993 December,922,209,529,"1,746","3,406"
1994 January,759,60,353,713,"1,885"
1994 February,701,117,320,"1,685","2,823"
1994 March,966,149,453,"1,414","2,982"
1994 April,"1,333",295,381,697,"2,706"
1994 May,"1,425",167,450,956,"2,998"
1994 June,"1,517",242,486,"1,514","3,759"
1994 July,"1,436",288,473,984,"3,181"
1994 August,"1,323",237,518,973,"3,051"
1994 September,"1,106",133,303,"1,388","2,930"
1994 October,867,116,315,"1,489","2,787"
1994 November,858,164,282,"1,984","3,288"
1994 December,812,164,189,"1,064","2,229"
1995 January,579,87,256,"1,673","2,595"
1995 February,613,61,131,"1,032","1,837"
1995 March,634,93,181,365,"1,273"
1995 April,825,163,293,843,"2,124"
1995 May,752,81,248,826,"1,907"
1995 June,912,92,202,"1,076","2,282"
1995 July,875,181,82,926,"2,064"
1995 August,828,79,333,856,"2,096"
1995 September,741,124,334,"1,032","2,231"
1995 October,798,92,239,411,"1,540"
1995 November,800,79,136,880,"1,895"
1995 December,613,141,177,829,"1,760"
1996 January,550,58,188,417,"1,213"
1996 February,481,60,200,852,"1,593"
1996 March,738,119,234,553,"1,644"
1996 April,904,104,247,510,"1,765"
1996 May,"1,060",137,203,942,"2,342"
1996 June,"1,169",136,281,"1,234","2,820"
1996 July,"1,077",161,261,"1,451","2,950"
1996 August,993,131,260,990,"2,374"
1996 September,947,131,138,"1,205","2,421"
1996 October,788,93,266,374,"1,521"
1996 November,856,100,397,869,"2,222"
1996 December,747,107,164,861,"1,879"
1997 January,555,54,107,479,"1,195"
1997 February,586,78,251,811,"1,726"
1997 March,736,107,107,568,"1,518"
1997 April,904,159,194,558,"1,815"
1997 May,"1,095",157,260,"1,327","2,839"
1997 June,"1,048",148,351,"1,156","2,703"
1997 July,"1,008",128,194,"1,163","2,493"
1997 August,"1,031",148,232,952,"2,363"
1997 September,820,113,321,"1,016","2,270"
1997 October,774,196,304,993,"2,267"
1997 November,768,218,297,837,"2,120"
1997 December,606,125,213,957,"1,901"
1998 January,506,84,119,473,"1,182"
1998 February,498,111,249,699,"1,557"
1998 March,527,106,116,579,"1,328"
1998 April,620,95,126,710,"1,551"
1998 May,704,68,209,664,"1,645"
1998 June,692,187,222,660,"1,761"
1998 July,690,88,104,969,"1,851"
1998 August,655,120,287,745,"1,807"
1998 September,621,117,152,743,"1,633"
1998 October,618,68,88,454,"1,228"
1998 November,470,45,66,452,"1,033"
1998 December,442,87,87,439,"1,055"
1999 January,296,36,47,271,650
1999 February,280,41,44,418,783
1999 March,395,28,69,784,"1,276"
1999 April,601,64,118,187,970
1999 May,754,76,79,459,"1,368"
1999 June,724,59,178,208,"1,169"
1999 July,798,108,113,405,"1,424"
1999 August,751,101,88,381,"1,321"
1999 September,686,47,153,517,"1,403"
1999 October,597,95,112,290,"1,094"
1999 November,579,50,167,654,"1,450"
1999 December,414,40,206,608,"1,268"
2000 January,324,60,72,69,525
2000 February,379,53,154,406,992
2000 March,403,39,55,205,702
2000 April,505,90,88,510,"1,193"
2000 May,587,109,195,373,"1,264"
2000 June,617,88,44,353,"1,102"
2000 July,654,81,206,184,"1,125"
2000 August,599,76,83,109,867
2000 September,583,89,162,484,"1,318"
2000 October,581,68,174,726,"1,549"
2000 November,370,38,151,318,877
2000 December,385,41,80,333,839
2001 January,359,23,156,653,"1,191"
2001 February,378,39,110,422,949
2001 March,425,48,85,248,806
2001 April,469,88,69,742,"1,368"
2001 May,518,90,148,862,"1,618"
2001 June,636,65,131,801,"1,633"
2001 July,672,78,90,660,"1,500"
2001 August,681,40,52,416,"1,189"
2001 September,680,131,203,473,"1,487"
2001 October,678,95,186,570,"1,529"
2001 November,612,104,212,448,"1,376"
2001 December,495,28,73,447,"1,043"
2002 January,515,48,108,639,"1,310"
2002 February,532,41,78,398,"1,049"
2002 March,642,63,149,446,"1,300"
2002 April,817,85,139,108,"1,149"
2002 May,987,130,225,629,"1,971"
2002 June,"1,092",117,272,678,"2,159"
2002 July,941,132,184,576,"1,833"
2002 August,925,104,221,"1,230","2,480"
2002 September,830,106,213,472,"1,621"
2002 October,919,77,194,638,"1,828"
2002 November,799,88,266,945,"2,098"
2002 December,751,112,180,474,"1,517"
2003 January,705,74,165,237,"1,181"
2003 February,774,86,165,508,"1,533"
2003 March,751,74,253,414,"1,492"
2003 April,948,89,315,845,"2,197"
2003 May,959,70,270,550,"1,849"
2003 June,"1,053",93,243,662,"2,051"
2003 July,"1,095",61,354,"1,111","2,621"
2003 August,"1,050",147,302,832,"2,331"
2003 September,936,92,310,"1,388","2,726"
2003 October,959,154,275,"1,424","2,812"
2003 November,983,107,195,837,"2,122"
2003 December,828,74,204,699,"1,805"
2004 January,730,103,241,"1,210","2,284"
2004 February,822,129,203,619,"1,773"
2004 March,970,100,274,678,"2,022"
2004 April,"1,273",152,371,"1,703","3,499"
2004 May,"1,189",152,301,"1,214","2,856"
2004 June,"1,147",160,355,991,"2,653"
2004 July,"1,170",130,432,746,"2,478"
2004 August,"1,064",159,422,"1,619","3,264"
2004 September,"1,151",164,481,995,"2,791"
2004 October,"1,038",91,389,586,"2,104"
2004 November,933,100,409,"1,347","2,789"
2004 December,842,164,411,945,"2,362"
2005 January,601,78,292,899,"1,870"
2005 February,769,85,333,777,"1,964"
2005 March,802,96,260,"1,248","2,406"
2005 April,971,100,402,"1,160","2,633"
2005 May,984,112,437,"1,426","2,959"
2005 June,"1,136",140,479,726,"2,481"
2005 July,"1,047",130,411,"1,317","2,905"
2005 August,"1,044",147,436,"1,039","2,666"
2005 September,"1,130",128,318,"1,651","3,227"
2005 October,"1,039",104,458,"1,322","2,923"
2005 November,"1,094",117,237,"1,058","2,506"
2005 December,839,74,197,"1,469","2,579"
2006 January,782,135,281,959,"2,157"
2006 February,950,80,341,"1,393","2,764"
2006 March,"1,058",148,225,"1,587","3,018"
2006 April,"1,240",100,318,"1,749","3,407"
2006 May,"1,070",132,305,822,"2,329"
2006 June,"1,117",105,226,"1,187","2,635"
2006 July,"1,209",111,526,"1,567","3,413"
2006 August,"1,072",150,380,813,"2,415"
2006 September,"1,128",144,451,995,"2,718"
2006 October,"1,051",149,423,"1,310","2,933"
2006 November,897,147,424,"1,063","2,531"
2006 December,638,166,356,"1,091","2,251"
2007 January,544,128,206,"1,660","2,538"
2007 February,664,115,326,965,"2,070"
2007 March,794,114,264,"1,448","2,620"
2007 April,899,136,313,"1,488","2,836"
2007 May,980,152,294,"1,572","2,998"
2007 June,"1,074",136,475,"1,263","2,948"
2007 July,"1,042",145,393,"1,200","2,780"
2007 August,921,138,186,"1,496","2,741"
2007 September,955,90,437,"2,146","3,628"
2007 October,895,90,247,"2,044","3,276"
2007 November,938,124,467,"2,280","3,809"
2007 December,829,128,299,861,"2,117"
2008 January,590,96,343,"1,274","2,303"
2008 February,640,153,358,"2,468","3,619"
2008 March,776,190,247,"1,158","2,371"
2008 April,774,132,193,"1,993","3,092"
2008 May,848,88,298,"1,846","3,080"
2008 June,887,139,290,"1,319","2,635"
2008 July,853,182,322,"1,497","2,854"
2008 August,819,119,342,"1,160","2,440"
2008 September,804,188,279,"1,855","3,126"
2008 October,620,96,310,"1,350","2,376"
2008 November,523,104,181,662,"1,470"
2008 December,315,27,201,948,"1,491"
2009 January,169,55,209,489,922
2009 February,189,38,60,574,861
2009 March,270,55,110,304,739
2009 April,364,49,149,305,867
2009 May,447,58,84,248,837
2009 June,478,96,219,269,"1,062"
2009 July,565,82,122,283,"1,052"
2009 August,679,110,230,493,"1,512"
2009 September,709,104,253,402,"1,468"
2009 October,791,105,324,312,"1,532"
2009 November,834,92,251,304,"1,481"
2009 December,656,81,114,650,"1,501"
2010 January,682,113,175,716,"1,686"
2010 February,696,95,228,906,"1,925"
2010 March,786,80,154,706,"1,726"
2010 April,930,123,312,746,"2,111"
2010 May,878,124,265,665,"1,932"
2010 June,989,119,175,813,"2,096"
2010 July,790,153,227,629,"1,799"
2010 August,876,94,234,"1,008","2,212"
2010 September,776,140,463,926,"2,305"
2010 October,715,88,338,879,"2,020"
2010 November,623,117,281,588,"1,609"
2010 December,469,60,375,"1,276","2,180"
2011 January,367,55,320,"1,149","1,891"
2011 February,372,68,274,"1,091","1,805"
2011 March,430,76,140,790,"1,436"
2011 April,684,84,387,743,"1,898"
2011 May,658,122,354,"1,383","2,517"
2011 June,680,82,288,809,"1,859"
2011 July,701,104,374,"1,206","2,385"
2011 August,755,59,233,"1,010","2,057"
2011 September,712,121,323,"1,246","2,402"
2011 October,615,89,399,"1,212","2,315"
2011 November,569,55,280,"1,280","2,184"
2011 December,547,74,213,760,"1,594"
2012 January,457,47,165,"1,327","1,996"
2012 February,375,51,264,"1,545","2,235"
2012 March,475,102,355,690,"1,622"
2012 April,585,82,265,923,"1,855"
2012 May,660,92,376,"1,129","2,257"
2012 June,666,106,238,"1,945","2,955"
2012 July,709,81,142,"1,166","2,098"
2012 August,631,88,349,"1,390","2,458"
2012 September,596,79,204,"1,479","2,358"
2012 October,583,71,275,"1,302","2,231"
2012 November,466,78,273,"1,006","1,823"
2012 December,511,96,190,790,"1,587"
2013 January,498,68,184,829,"1,579"
2013 February,485,79,322,684,"1,570"
2013 March,400,61,159,"1,300","1,920"
2013 April,542,95,284,997,"1,918"
2013 May,635,97,136,980,"1,848"
2013 June,653,76,325,"1,506","2,560"
2013 July,653,91,205,"1,748","2,697"
2013 August,726,70,279,"1,147","2,222"
2013 September,713,109,331,"1,431","2,584"
2013 October,691,85,313,960,"2,049"
2013 November,703,107,247,"1,202","2,259"
2013 December,555,97,288,"1,540","2,480"
2014 January,464,58,230,"1,151","1,903"
2014 February,522,101,264,730,"1,617"
2014 March,541,74,206,"1,219","2,040"
2014 April,690,96,303,985,"2,074"
2014 May,723,122,263,"1,330","2,438"
2014 June,760,106,290,"1,168","2,324"
2014 July,801,136,322,"1,043","2,302"
2014 August,777,109,337,"1,715","2,938"
2014 September,813,111,269,"1,220","2,413"
2014 October,774,127,446,566,"1,913"
2014 November,775,108,354,"1,175","2,412"
2014 December,690,142,221,"1,313","2,366"
2015 January,564,82,257,"1,015","1,918"
2015 February,591,143,229,776,"1,739"
2015 March,612,93,285,"1,520","2,510"
2015 April,840,108,297,"1,785","3,030"
2015 May,736,94,204,"1,045","2,079"
2015 June,853,124,346,"1,687","3,010"
2015 July,795,83,393,"1,820","3,091"
2015 August,853,74,378,946,"2,251"
